Sample,Pop
WAMS69084,FALSE CAPE BOSSUT
WAMS69955,FALSE CAPE BOSSUT
WAMS69956,FALSE CAPE BOSSUT
WAMS69957,FALSE CAPE BOSSUT
WAMS69958,FALSE CAPE BOSSUT
WAMS69959,FALSE CAPE BOSSUT
WAMS69960,FALSE CAPE BOSSUT
WAMS69962,FALSE CAPE BOSSUT
WAMS69963,FALSE CAPE BOSSUT
WAMS69964,FALSE CAPE BOSSUT
WAMS69965,FALSE CAPE BOSSUT
WAMS69966,FALSE CAPE BOSSUT
WAMS69967,FALSE CAPE BOSSUT
WAMS69968,FALSE CAPE BOSSUT
WAMS69969,FALSE CAPE BOSSUT
WAMS69970,FALSE CAPE BOSSUT
WAMS69971,FALSE CAPE BOSSUT
WAMS69317,KARRATHA
WAMS96245,MONTIDPAW
WAMS96246,MONTIDPAW
WAMS96247,MONTIDPAW
WAMS96248,MONTIDPAW
WAMS96249,MONTIDPAW
WAMS96250,MONTIDPAW
WAMS96251,MONTIDPAW
WAMS96252,MONTIDPAW
WAMS96253,MONTIDPAW
WAMS96254,MONTIDPAW
WAMS96255,MONTIDPAW
WAMS96256,MONTIDPAW
WAMS96257,MONTIDPAW
WAMS96258,MONTIDPAW
WAMS96259,MONTIDPAW
WAMS96260,MONTIDPAW
WAMS96261,MONTIDPAW
WAMS96262,MONTIDPAW
WAMS96263,MONTIDPAW
WAMS96264,MONTIDPAW
WAMS96265,MONTIDPAW
WAMS96266,MONTIDPAW
WAMS96267,MONTIDPAW
WAMS96359,MONTITRIMOUILLE
WAMS98626,MONTITRIMOUILLE
WAMS98627,MONTITRIMOUILLE
WAMS98628,MONTITRIMOUILLE
WAMS98629,MONTITRIMOUILLE
WAMS98630,MONTITRIMOUILLE
WAMS98631,MONTITRIMOUILLE
WAMS98632,MONTITRIMOUILLE
WAMS98633,MONTITRIMOUILLE
WAMS98634,MONTITRIMOUILLE
WAMS98635,MONTITRIMOUILLE
WAMS98636,MONTITRIMOUILLE
WAMS98637,MONTITRIMOUILLE
WAMS98638,MONTITRIMOUILLE
WAMS98639,MONTITRIMOUILLE
WAMS98640,MONTITRIMOUILLE
WAMS98641,MONTITRIMOUILLE
WAMS98642,MONTITRIMOUILLE
WAMS98643,MONTITRIMOUILLE
WAMS98644,MONTITRIMOUILLE
WAMS98645,MONTITRIMOUILLE
WAMS96359,MONTITRIMOUILLE
WAMS98626,MONTITRIMOUILLE
WAMS69326,ONSLOW
WAMS69332,ONSLOW
WAMS69716,ONSLOW
WAMS69717,ONSLOW
WAMS69718,ONSLOW
WAMS69756,ONSLOW
WAMS70047,ONSLOW
WAMS70048,ONSLOW
WAMS70049,ONSLOW
WAMS70050,ONSLOW
WAMS70051,ONSLOW
WAMS70052,ONSLOW
WAMS70053,ONSLOW
WAMS70054,ONSLOW
WAMS70055,ONSLOW
WAMS70056,ONSLOW
WAMS70057,ONSLOW
WAMS70058,ONSLOW
WAMS70059,ONSLOW
WAMS70060,ONSLOW
WAMS70061,ONSLOW
WAMS70062,ONSLOW
WAMS70063,ONSLOW
WAMS70064,ONSLOW
WAMS69293,POINT SAMPSON
WAMS69294,POINT SAMPSON
WAMS69295,POINT SAMPSON
WAMS69296,POINT SAMPSON
WAMS69297,POINT SAMPSON
WAMS69298,POINT SAMPSON
WAMS69299,POINT SAMPSON
WAMS69300,POINT SAMPSON
WAMS69301,POINT SAMPSON
WAMS69302,POINT SAMPSON
WAMS69303,POINT SAMPSON
WAMS69304,POINT SAMPSON
WAMS69305,POINT SAMPSON
WAMS69306,POINT SAMPSON
WAMS69307,POINT SAMPSON
WAMS69308,POINT SAMPSON
WAMS69309,POINT SAMPSON
WAMS69310,POINT SAMPSON
WAMS69311,POINT SAMPSON
WAMS69312,POINT SAMPSON
WAMS69313,POINT SAMPSON
WAMS69314,POINT SAMPSON
WAMS69315,POINT SAMPSON
WAMS70007,CEMETERY BEACH
WAMS70009,CEMETERY BEACH
WAMS69375,EXMOUTH